Sl. No.,Name,Urban Status,State Code,State/                                               Union territory*,District Code,District
3894,Rawalsar,M,8,Rajasthan,21,Ajmer
3895,Rawatbhata,T.P.,33,Tamil Nadu,30,Kanniyakumari
3896,Rawatsar,C.T.,32,Kerala,7,Thrissur
3897,Raxaul Bazar,C.T.,32,Kerala,6,Palakkad
3898,Raya,C.T.,28,Andhra Pradesh,23,Chittoor
3899,Rayachoti,T.M.C,29,Karnataka,24,Dakshina Kannada
3900,Rayadurg,T.P.,33,Tamil Nadu,15,Tiruchirappalli
3901,Rayagada,T.P,33,Tamil Nadu,1,Thiruvallur
3902,Rayagiri,C.T.,32,Kerala,2,Kannur
3903,Raybag,T.P,33,Tamil Nadu,3,Kancheepuram
3904,Rayya,C.T.,17,Meghalaya,6,East Khasi Hills
3905,Reasi,M.Cl.,3,Punjab,1,Gurdaspur
3906,Redhakhol,C.T.,9,Uttar Pradesh,12,Aligarh
3907,Reengus,N.A.C.,1,Jammu & Kashmir,6,Anantnag
3908,Reethapuram,C.T.,7,Delhi *,7,West
3909,Rehambal,M.Cl.,30,Goa,2,South Goa
3910,Rehli,C.T.,30,Goa,1,North Goa 
3911,Rehti,M,32,Kerala,4,Kozhikode
3912,Reis Magos,M,28,Andhra Pradesh,6,Rangareddi
3913,Religara alias Pachhiari,T.P.,33,Tamil Nadu,9,Namakkal
3914,Remuna,T.P.,33,Tamil Nadu,27,Ramanathapuram
3915,Rengali Dam Projectship,C.M.C,29,Karnataka,2,Bagalkot
3916,Renigunta,N.P.,9,Uttar Pradesh,10,Gautam Buddha Nagar
3917,Renukoot,M.C.,6,Haryana,3,Yamunanagar
3918,Reoti,N.P.,9,Uttar Pradesh,14,Mathura
3919,Repalle,M,24,Gujarat,3,Patan
3920,Resubelpara,M.B.,9,Uttar Pradesh,28,Rae Bareli
3921,Revelganj,N.A.,10,Bihar,34,Aurangabad
3922,Rewa,M,23,Madhya Pradesh,7,Guna
3923,Rewari,C.T.,19,West Bengal,16,Haora 
3924,Rewari (Rural),C.T.,19,West Bengal,9,Barddhaman 
3925,Richha,C.T.,10,Bihar,10,Katihar
3926,Rikhabdeo,M,19,West Bengal,14,Puruliya
3927,Rishikesh,C.T.,19,West Bengal,12,Hugli 
3928,Rishra,C.T.,19,West Bengal,12,Hugli 
3929,Risia Bazar,N.P.,23,Madhya Pradesh,11,Sagar
3930,Risod,M.Cl.,27,Maharashtra,31,Satara
3931,Rithora,M.Cl.,3,Punjab,6,Nawanshahr
3932,Rly. Settlement Roza,M.Cl.,27,Maharashtra,26,Ahmadnagar
3933,Robertsganj,M.Cl.,27,Maharashtra,26,Ahmadnagar
3934,Robertson Pet,C.M.C,29,Karnataka,6,Raichur
3935,Roha Ashtami,C.T.,19,West Bengal,11,North Twentyfour Parganas
3936,Rohraband,M,19,West Bengal,4,Uttar Dinajpur
3937,Rohru,M,22,Chhattisgarh,4,Raigarh
3938,Rohtak,M.Cl.,3,Punjab,9,Ludhiana
3939,Roing,C.T.,5,Uttaranchal,5,Dehradun
3940,Ron,M.Corp.,22,Chhattisgarh,11,Raipur
3941,Roorkee,C.T.,6,Haryana,1,Panchkula
3942,Rosalpatti,N.A.C.,21,Orissa,7,Mayurbhanj
3943,Rosera,M,23,Madhya Pradesh,34,Raisen
3944,Roshan Pura alias Dichaon Khurd,M,8,Rajasthan,1,Ganganagar
3945,Rudauli,N.P.,9,Uttar Pradesh,17,Etah
3946,Rudayan,M,21,Orissa,5,Sundargarh
3947,Rudra Prayag,M.Corp.,28,Andhra Pradesh,14,East Godavari
3948,Rudrapur,C.T.,23,Madhya Pradesh,11,Sagar
3949,Rudravathi,M,8,Rajasthan,8,Dhaulpur
3950,Ruiya,M,8,Rajasthan,4,Churu
3951,Runji Gautampura,C.T.,28,Andhra Pradesh,11,Srikakulam
3952,Rupnagar,M,33,Tamil Nadu,26,Virudhunagar
3953,Rura,M.Cl.,27,Maharashtra,32,Ratnagiri
3954,Rurki Kasba,N.P.,9,Uttar Pradesh,41,Chitrakoot
3955,Rustamnagar Sahaspur,M,19,West Bengal,11,North Twentyfour Parganas
3956,S. Kannanur,N.P.,3,Punjab,2,Amritsar
3957,S.A.S. Nagar (Mohali),N.A.C.,1,Jammu & Kashmir,12,Rajauri
3958,S.Kodikulam,M,28,Andhra Pradesh,6,Rangareddi
3959,S.Nallur,C.T.,22,Chhattisgarh,5,Korba
3960,S.T. Power Project Town,M,8,Rajasthan,4,Churu
3961,Sabalgarh,M,8,Rajasthan,6,Alwar
3962,Sabathu,N.P.,2,Himachal Pradesh,10,Sirmaur
3963,Sabroom,N.P.,23,Madhya Pradesh,25,Dhar
3964,Sachin,N.P.,23,Madhya Pradesh,30,Rajgarh
3965,Sachin INA,N.A.,10,Bihar,27,Nalanda
3966,Sadabad,C.T.,27,Maharashtra,25,Pune
3967,Sadalgi,M.Corp.,24,Gujarat,9,Rajkot
3968,Sadasivpet,N.A.,20,Jharkhand,9,Sahibganj
3969,Sadat,N.P.,23,Madhya Pradesh,9,Chhatarpur
3970,Sadat Pur Gujran,M.Corp.,22,Chhattisgarh,9,Rajnandgaon
3971,Sadaura,C.T.,7,Delhi *,8,South West
3972,Sadpur,M,24,Gujarat,20,Narmada
3973,Sadri,N.P.,23,Madhya Pradesh,28,Barwani
3974,Sadulshahar,M,19,West Bengal,18,South Twentyfour Parganas
3975,Safidon,M.Cl.,3,Punjab,17,Patiala
3976,Safipur,M,8,Rajasthan,25,Rajsamand
3977,Sagar,M,24,Gujarat,13,Amreli
3978,Sagar Cantt.,C.T.,27,Maharashtra,14,Yavatmal
3979,Sagwara,M.Cl.,27,Maharashtra,13,Chandrapur
3980,Sahajadpur,N.A.C.,1,Jammu & Kashmir,13,Jammu
3981,Sahanpur,C.T.,28,Andhra Pradesh,4,Medak
3982,Sahapur,M,28,Andhra Pradesh,14,East Godavari
3983,Saharanpur,C.T.,28,Andhra Pradesh,4,Medak
3984,Saharsa,M,28,Andhra Pradesh,3,Karimnagar
3985,Sahaspur,M.Cl.,3,Punjab,14,Bathinda
3986,Sahaswan,C.M.C,29,Karnataka,21,Bangalore Rural
3987,Sahatwar,M,33,Tamil Nadu,27,Ramanathapuram
3988,Sahawar,C.T.,32,Kerala,4,Kozhikode
3989,Sahibabad Daulat Pur,C.T.,28,Andhra Pradesh,14,East Godavari
3990,Sahibganj,N.P.,22,Chhattisgarh,2,Surguja
3991,Sahjanwa,C.T.,33,Tamil Nadu,1,Thiruvallur
3992,Sahnewal,C.T.,28,Andhra Pradesh,21,Kurnool
3993,Sahnidih,N.A.C.,1,Jammu & Kashmir,9,Doda
3994,Sahpau NP,N.A.C.,21,Orissa,19,Ganjam
3995,Saidpur,C.T.,19,West Bengal,16,Haora 
3996,Saidul Ajaib,M.Cl.,3,Punjab,2,Amritsar
3997,Saiha,T.M.C,29,Karnataka,1,Belgaum
3998,Sailana,C.T.,28,Andhra Pradesh,20,Cuddapah
3999,Sailu,T.P.,33,Tamil Nadu,27,Ramanathapuram
4000,Sainthal,M,8,Rajasthan,30,Kota
4001,Sainthia,M,8,Rajasthan,13,Sikar
4002,Sairang,C.B.,20,Jharkhand,4,Hazaribag
4003,Saitual,M,19,West Bengal,15,Medinipur 
4004,Saiyad Raja,N.P.,9,Uttar Pradesh,59,Kushinagar
4005,Sakhanu,N.A.,10,Bihar,1,Pashchim Champaran
4006,Sakit,C.T.,19,West Bengal,9,Barddhaman 
4007,Sakleshpur,N.A.C.,1,Jammu & Kashmir,10,Udhampur
4008,Sakti,M.B.,5,Uttaranchal,11,Nainital
4009,Salakati,N.P.,9,Uttar Pradesh,46,Barabanki
4010,Salangapalayam,M.B.,9,Uttar Pradesh,67,Varanasi
4011,Salap,M,24,Gujarat,7,Ahmadabad
4012,Salarpur Khadar,C.T.,28,Andhra Pradesh,14,East Godavari
4013,Salaya,M.B.,9,Uttar Pradesh,5,Rampur
4014,Salem,M.Cl.,2,Himachal Pradesh,11,Shimla
4015,Salempur,N.P.,23,Madhya Pradesh,13,Satna
4016,Saligao,C.T.,9,Uttar Pradesh,46,Barabanki
4017,Saligram,N.P.,9,Uttar Pradesh,60,Deoria
4018,Salon,N.P.,9,Uttar Pradesh,1,Saharanpur
4019,Salumbar,N.P.,23,Madhya Pradesh,17,Sidhi
4020,Salur,N.P.,23,Madhya Pradesh,18,Neemuch
4021,Samalapuram,N.P.,9,Uttar Pradesh,35,Jalaun 
4022,Samalkha,M.Cl.,3,Punjab,14,Bathinda
4023,Samalkota,M,19,West Bengal,8,Birbhum
4024,Samana,M.Cl.,27,Maharashtra,9,Nagpur
4025,Samastipur,M,19,West Bengal,10,Nadia 
4026,Samathur,N.P.,23,Madhya Pradesh,24,Jhabua
4027,Samba,M,24,Gujarat,11,Porbandar
4028,Sambalpur,N.A.C.,1,Jammu & Kashmir,13,Jammu
4029,Sambavar Vadagarai,M.Corp.,20,Jharkhand,14,Ranchi
4030,Sambhal,T.C.,18,Assam,11,Sonitpur
4031,Sambhalka,M.B.,18,Assam,6,Kamrup
4032,Sambhar,N.T.A,11,Sikkim,4,East
4033,Samdhan,M,8,Rajasthan,20,Pali
4034,Samrala,M.C.,6,Haryana,11,Sirsa
4035,Samthar,C.M.C,29,Karnataka,11,Haveri
4036,Samurou,M,19,West Bengal,9,Barddhaman 
4037,Sanand,C.B.,5,Uttaranchal,9,Almora
4038,Sanaur,M,24,Gujarat,7,Ahmadabad
4039,Sanawad,M,33,Tamil Nadu,4,Vellore
4040,Sanchi,N.P.,9,Uttar Pradesh,36,Jhansi
4041,Sanchore,N.P.,16,Tripura,1,West Tripura 
4042,Sancoale,C.T.,24,Gujarat,19,Vadodara
4043,Sandi,M,24,Gujarat,1,Kachchh
4044,Sandila,C.T.,9,Uttar Pradesh,3,Bijnor
4045,Sandor,T.P.,33,Tamil Nadu,9,Namakkal
4046,Sandur,M.B.,9,Uttar Pradesh,63,Ballia
4047,Sangamner,N.P.,9,Uttar Pradesh,26,Unnao
4048,Sangareddy,M,8,Rajasthan,4,Churu
4049,Sangaria,N.P.,23,Madhya Pradesh,18,Neemuch
4050,Sangat,M,8,Rajasthan,4,Churu
4051,Sangli-Miraj & Kupwad,N.P.,22,Chhattisgarh,7,Bilaspur
4052,Sangod,M.B.,9,Uttar Pradesh,38,Hamirpur
4053,Sangole,M.C.,6,Haryana,10,Fatehabad
4054,Sangrur,C.T.,19,West Bengal,9,Barddhaman 
4055,Sanguem,M.Corp.,23,Madhya Pradesh,20,Ratlam
4056,Sankaramanallur,C.T.,23,Madhya Pradesh,20,Ratlam
4057,Sankarankoil,M.Cl.,27,Maharashtra,32,Ratnagiri
4058,Sankarapuram,N.P.,23,Madhya Pradesh,26,Indore
4059,Sankari,M,21,Orissa,5,Sundargarh
4060,Sankarnagar,ITS,21,Orissa,5,Sundargarh
4061,Sankarpur,M.Cl.,27,Maharashtra,3,Jalgaon
4062,Sankeshwar,N.P.,2,Himachal Pradesh,5,Mandi
4063,Sankhol,M,8,Rajasthan,29,Chittaurgarh
4064,Sankrail,M,8,Rajasthan,2,Hanumangarh
4065,Sanoth,M,10,Bihar,2,Purba Champaran
4066,Sanquelim,N.P.,9,Uttar Pradesh,14,Mathura
4067,Sansarpur,C.T.,28,Andhra Pradesh,20,Cuddapah
4068,Santipur,M,28,Andhra Pradesh,22,Anantapur
4069,Santokhgarh,M,21,Orissa,27,Rayagada
4070,Santoshpur,T.P.,33,Tamil Nadu,29,Tirunelveli
4071,Santrampur,T.P.,29,Karnataka,1,Belgaum
4072,Sanvordem,N.P.,3,Punjab,2,Amritsar
4073,Sao Jose-de-Areal,N.A.C.,1,Jammu & Kashmir,10,Udhampur
4074,Sapatgram,N.A.C.,21,Orissa,3,Sambalpur
4075,Sarai Aquil,M,8,Rajasthan,13,Sikar
4076,Sarai Mir,T.P.,33,Tamil Nadu,30,Kanniyakumari
4077,Saraidhela,C.T.,1,Jammu & Kashmir,10,Udhampur
4078,Saraipali,M,23,Madhya Pradesh,11,Sagar
4079,Sarangarh,N.P.,23,Madhya Pradesh,33,Sehore
4080,Sarangpur,C.T.,30,Goa,1,North Goa 
4081,Sarapaka,C.T.,20,Jharkhand,4,Hazaribag
4082,Saravanampatti,N.A.C.,21,Orissa,8,Baleshwar
4083,Sarbhog,C.T.,21,Orissa,15,Anugul
4084,Sarcarsamakulam,C.T.,28,Andhra Pradesh,23,Chittoor
4085,Sardarpur,N.P.,9,Uttar Pradesh,70,Sonbhadra
4086,Sardarshahar,N.P.,9,Uttar Pradesh,63,Ballia
4087,Sardhana,M,28,Andhra Pradesh,17,Guntur
4088,Sardulgarh,M.B.,17,Meghalaya,2,East Garo Hills
4089,Sarenga,M,10,Bihar,17,Saran
4090,Sarigam INA,M.Corp..,23,Madhya Pradesh,14,Rewa
4091,Sarila,M.Cl.,6,Haryana,17,Rewari
4092,Sarjamda,C.T.,6,Haryana,17,Rewari
4093,Sarkaghat,N.P.,9,Uttar Pradesh,20,Bareilly
4094,Sarkhej-Okaf,C.T.,8,Rajasthan,26,Udaipur
4095,Sarni,M.B.,5,Uttaranchal,5,Dehradun
4096,Sarpi,M,19,West Bengal,12,Hugli 
4097,Sarsawan,C.T.,19,West Bengal,12,Hugli 
4098,Sarthebari,N.P.,9,Uttar Pradesh,50,Bahraich
4099,Sarupathar,M.Cl.,27,Maharashtra,6,Washim
4100,Sarupathar Bengali,N.P.,9,Uttar Pradesh,20,Bareilly
4101,Sarwar,N.P.,9,Uttar Pradesh,22,Shahjahanpur
4102,Sasaram,M.B.,9,Uttar Pradesh,70,Sonbhadra
4103,Sasauli,C.M.C,29,Karnataka,19,Kolar
4104,Sasni,M.Cl.,27,Maharashtra,24,Raigarh
4105,Sasti,C.T.,20,Jharkhand,12,Dhanbad
4106,Sasvad,N.P.,2,Himachal Pradesh,11,Shimla
4107,Satai,M.Cl.,6,Haryana,14,Rohtak
4108,Satalkheri,C.T.,12,Arunachal Pradesh,10,Dibang Valley
4109,Satana,T.P.,29,Karnataka,8,Gadag
4110,Satara,M.B.,5,Uttaranchal,13,Hardwar
4111,Sathankulam,C.B.,5,Uttaranchal,13,Hardwar
4112,Sathiyavijayanagaram,T.P.,33,Tamil Nadu,26,Virudhunagar
4113,Sathuvachari,M,10,Bihar,19,Samastipur
4114,Sathyamangala,C.T.,7,Delhi *,8,South West
4115,Sathyamangalam,M.B.,9,Uttar Pradesh,47,Faizabad
4116,Satigachha,N.P.,9,Uttar Pradesh,19,Budaun
4117,Satna,N.P.,5,Uttaranchal,3,Rudraprayag
4118,Satrikh,M.B.,5,Uttaranchal,12,Udham Singh Nagar
4119,Sattenapalle,N.P.,9,Uttar Pradesh,60,Deoria
4120,Sattur,T.P.,33,Tamil Nadu,10,Erode
4121,Satwas,C.T.,19,West Bengal,11,North Twentyfour Parganas
4122,Saunda,N.P.,23,Madhya Pradesh,26,Indore
4123,Saundatti-Yellamma,M.Cl.,3,Punjab,7,Rupnagar
4124,Saunkh,N.P.,9,Uttar Pradesh,33,Kanpur Dehat
4125,Saurikh,C.T.,3,Punjab,17,Patiala
4126,Sausar,C.T.,9,Uttar Pradesh,4,Moradabad
4127,Savanur,T.P.,33,Tamil Nadu,15,Tiruchirappalli
4128,Savarkundla,M.Cl.,3,Punjab,7,Rupnagar
4129,Savda,T.P.,33,Tamil Nadu,26,Virudhunagar
4130,Savner,T.P.,33,Tamil Nadu,12,Coimbatore
4131,Sawai Madhopur,C.T.,19,West Bengal,14,Puruliya
4132,Sawantwadi,M,23,Madhya Pradesh,2,Morena
4133,Sawari Jawharnagar,C.B.,2,Himachal Pradesh,9,Solan
4134,Sawer,N.P.,16,Tripura,2,South Tripura 
4135,Sayalgudi,C.T.,24,Gujarat,22,Surat
4136,Sayan,I.N.A.,24,Gujarat,22,Surat
4137,Sayapuram,N.P.,9,Uttar Pradesh,13,Hathras
4138,Secunderabad,T.P.,29,Karnataka,1,Belgaum
4139,Sedam,M,28,Andhra Pradesh,4,Medak
4140,Seerapalli,N.P.,9,Uttar Pradesh,65,Ghazipur
4141,Seevur,C.T.,7,Delhi *,3,North East
4142,Sehore,M.C.,6,Haryana,3,Yamunanagar
4143,Seithur,C.T.,19,West Bengal,11,North Twentyfour Parganas
4144,Sekmai Bazar,M,8,Rajasthan,20,Pali
4145,Semaria,M,8,Rajasthan,1,Ganganagar
4146,Sembakkam,M.C.,6,Haryana,9,Jind
4147,Semmipalayam,N.P.,9,Uttar Pradesh,26,Unnao
4148,Senchoa Gaon,M.Corp.,23,Madhya Pradesh,11,Sagar
4149,Sendhwa,T.M.C,29,Karnataka,15,Shimoga
4150,Senthamangalam,C.B.,23,Madhya Pradesh,11,Sagar
4151,Sentharapatti,M,8,Rajasthan,27,Dungarpur
4152,Senur,C.T.,19,West Bengal,7,Murshidabad 
4153,Seohara,N.P.,9,Uttar Pradesh,3,Bijnor
4154,Seondha,C.T.,19,West Bengal,16,Haora 
4155,Seoni,M.B.,9,Uttar Pradesh,1,Saharanpur
4156,Seoni Malwa,M,10,Bihar,12,Saharsa
4157,Seppa,N.P.,9,Uttar Pradesh,3,Bijnor
4158,Seraikela,M.B.,9,Uttar Pradesh,19,Budaun
4159,Serampore,N.P.,9,Uttar Pradesh,63,Ballia
4160,Serchhip,N.P.,9,Uttar Pradesh,17,Etah
4161,Serilingampalle,C.T.,7,Delhi *,1,North West
4162,Serpur,M,20,Jharkhand,9,Sahibganj
4163,Sethia,N.P.,9,Uttar Pradesh,58,Gorakhpur
4164,Sethiathoppu,N.P.,3,Punjab,9,Ludhiana
4165,Sevilimedu,C.T.,20,Jharkhand,12,Dhanbad
4166,Sevugampatti,N.P.,9,Uttar Pradesh,13,Hathras
4167,Sewai,N.P.,9,Uttar Pradesh,19,Budaun
4168,Sewalkhas,N.P.,9,Uttar Pradesh,65,Ghazipur
4169,Sewarhi,C.T.,7,Delhi *,9,South
4170,Shahabad,C.T.,15,Mizoram,8,Saiha
4171,Shahabad ACC,N.P.,23,Madhya Pradesh,20,Ratlam
4172,Shahade,M.Cl.,27,Maharashtra,17,Parbhani
4173,Shahapur,N.P.,9,Uttar Pradesh,20,Bareilly
4174,Shahbad,M,19,West Bengal,8,Birbhum
4175,Shahdol,C.T.,15,Mizoram,3,Aizawl
4176,Shahganj,C.T.,15,Mizoram,3,Aizawl
4177,Shahgarh,N.P.,9,Uttar Pradesh,66,Chandauli
4178,Shahi,N.P.,9,Uttar Pradesh,19,Budaun
4179,Shahjahanpur,N.P.,9,Uttar Pradesh,17,Etah
4180,Shahkot,T.M.C,29,Karnataka,23,Hassan
4181,Shahpur,N.P.,22,Chhattisgarh,6,Janjgir-Champa
4182,Shahpura,C.T.,18,Assam,1,Kokrajhar
4183,Shajapur,T.P.,33,Tamil Nadu,10,Erode
4184,Shaktigarh,C.T.,19,West Bengal,16,Haora 
4185,Shaktinagar,C.T.,9,Uttar Pradesh,10,Gautam Buddha Nagar
4186,Shamchaurasi,M,24,Gujarat,10,Jamnagar
4187,Shamgarh,M.Corp.,33,Tamil Nadu,8,Salem
4188,Shamli,N.P.,9,Uttar Pradesh,60,Deoria
4189,Shamsabad,C.T.,30,Goa,1,North Goa 
4190,Shankargarh,T.M.C,29,Karnataka,16,Udupi
4191,Shankhanagar,N.P.,9,Uttar Pradesh,28,Rae Bareli
4192,Shegaon,M,8,Rajasthan,26,Udaipur
4193,Sheikhpura,M,28,Andhra Pradesh,12,Vizianagaram
4194,Shekhpura,T.P.,33,Tamil Nadu,12,Coimbatore
4195,Shelar,M.C.,6,Haryana,7,Panipat
4196,Shenbakkam,M,28,Andhra Pradesh,14,East Godavari
4197,Shendurjana,M.Cl.,3,Punjab,17,Patiala
4198,Shenkottai,M,10,Bihar,19,Samastipur
4199,Sheoganj,T.P.,33,Tamil Nadu,12,Coimbatore
4200,Sheohar,N.A.C.,1,Jammu & Kashmir,13,Jammu
4201,Sheopur,M,21,Orissa,3,Sambalpur
4202,Shergarh,T.P.,33,Tamil Nadu,29,Tirunelveli
4203,Sherghati,M.B.,9,Uttar Pradesh,4,Moradabad
4204,Sherkot,C.T.,7,Delhi *,8,South West
4205,Shiggaon,M,8,Rajasthan,12,Jaipur
4206,Shikarpur,N.P.,9,Uttar Pradesh,30,Kannauj
4207,Shikohabad,M.Cl.,3,Punjab,9,Ludhiana
4208,Shillong,M.B.,9,Uttar Pradesh,36,Jhansi
4209,Shillong Cantt.,N.P.,14,Manipur,5 & 6,Thoubal & Imphal West
4210,Shimla,M,24,Gujarat,7,Ahmadabad
4211,Shimoga,M.Cl.,3,Punjab,17,Patiala
4212,Shirdi,M,23,Madhya Pradesh,27,West Nimar
4213,Shirhatti,N.P.,23,Madhya Pradesh,34,Raisen
4214,Shirpur-Warwade,M,8,Rajasthan,18,Jalor
4215,Shirur,C.T.,30,Goa,2,South Goa
4216,Shirwal,M.B.,9,Uttar Pradesh,25,Hardoi
4217,Shishgarh,M.B.,9,Uttar Pradesh,25,Hardoi
4218,Shivajinagar,C.T.,27,Maharashtra,21,Thane
4219,Shivatkar (Nira),T.P.,29,Karnataka,12,Bellary
4220,Shivdaspur,M.Cl.,27,Maharashtra,26,Ahmadnagar
4221,Shivli,M,28,Andhra Pradesh,4,Medak
4222,Shivpuri,M,8,Rajasthan,2,Hanumangarh
4223,Shivrajpur,M.Cl.,3,Punjab,14,Bathinda
4224,Shivrinarayan,M.Corp.,27,Maharashtra,35,Sangli
4225,Shohratgarh,M,8,Rajasthan,30,Kota
4226,Sholavandan,M.Cl.,27,Maharashtra,30,Solapur
4227,Sholinganallur,M.Cl.,3,Punjab,16,Sangrur
4228,Sholingur,M.Cl.,30,Goa,2,South Goa
4229,Sholur,T.P.,33,Tamil Nadu,12,Coimbatore
4230,Shoranur,M,33,Tamil Nadu,29,Tirunelveli
4231,Shorapur,T.P.,33,Tamil Nadu,7,Viluppuram
4232,Shrigonda,T.P.,33,Tamil Nadu,8,Salem
4233,Shrirampur,T.P.,33,Tamil Nadu,29,Tirunelveli
4234,Shrirampur(Rural),C.T.,19,West Bengal,9,Barddhaman 
4235,Shrirangapattana,T.M.C,29,Karnataka,1,Belgaum
4236,Shrivardhan,C.T.,6,Haryana,15,Jhajjar
4237,Shujalpur,C.T.,19,West Bengal,16,Haora 
4238,Shupiyan,C.T.,7,Delhi *,1,North West
4239,Siana,M.Cl.,30,Goa,1,North Goa 
4240,Sibsagar,C.T.,3,Punjab,4,Jalandhar
4241,Siddapur,M,19,West Bengal,10,Nadia 
4242,Siddhaur,N.P.,2,Himachal Pradesh,7,Una
4243,Siddipet,C.T.,19,West Bengal,16,Haora 
4244,Sidhauli,M,24,Gujarat,17,Panch Mahals
4245,Sidhi,C.T.,30,Goa,2,South Goa
4246,Sidhpur,C.T.,30,Goa,2,South Goa
4247,Sidhpura,T.C.,18,Assam,2,Dhubri
4248,Sidlaghatta,N.P.,9,Uttar Pradesh,44,Kaushambi
4249,Siduli,N.P.,9,Uttar Pradesh,61,Azamgarh
4250,Sihor,C.T.,20,Jharkhand,12,Dhanbad
4251,Sihora,N.P.,22,Chhattisgarh,12,Mahasamund
4252,Sijhua,N.P.,22,Chhattisgarh,4,Raigarh
4253,Sijua,M,23,Madhya Pradesh,30,Rajgarh
4254,Sikanderpur,C.T.,28,Andhra Pradesh,10,Khammam
4255,Sikandra,T.P.,33,Tamil Nadu,12,Coimbatore
4256,Sikandra Rao,T.C.,18,Assam,5,Barpeta
4257,Sikandrabad,T.P.,33,Tamil Nadu,12,Coimbatore
4258,Sikar,N.P.,23,Madhya Pradesh,25,Dhar
4259,Sikhong Sekmai,M,8,Rajasthan,4,Churu
4260,Sikka,M.B.,9,Uttar Pradesh,7,Meerut
4261,Sikkarayapuram,N.P.,3,Punjab,15,Mansa
4262,Silao,C.T.,19,West Bengal,16,Haora 
4263,Silapathar,I.N.A.,24,Gujarat,25,Valsad
4264,Silchar,N.P.,9,Uttar Pradesh,38,Hamirpur
4265,Silchar Part-X,C.T.,20,Jharkhand,18,Purbi Singhbhum
4266,Siliguri,N.P.,2,Himachal Pradesh,5,Mandi
4267,Sillewada,M,24,Gujarat,7,Ahmadabad
4268,Sillod,M,23,Madhya Pradesh,35,Betul
4269,Silvassa,C.T.,19,West Bengal,9,Barddhaman 
4270,Simdega,M.B.,9,Uttar Pradesh,1,Saharanpur
4271,Simga,T.C.,18,Assam,5,Barpeta
4272,Simla,T.C.,18,Assam,18,Golaghat
4273,Sindgi,C.T.,18,Assam,15,Dibrugarh
4274,Sindhnur,M,8,Rajasthan,21,Ajmer
4275,Sindi,M,10,Bihar,32,Rohtas
4276,Sindi Turf Hindnagar,C.T.,6,Haryana,3,Yamunanagar
4277,Sindkhed Raja,N.P.,9,Uttar Pradesh,13,Hathras
4278,Sindri,C.T.,27,Maharashtra,13,Chandrapur
4279,Sinduria,M.Cl.,27,Maharashtra,25,Pune
4280,Singahi Bhiraura,N.P.,23,Madhya Pradesh,9,Chhatarpur
4281,Singampuneri,C.T.,8,Rajasthan,30,Kota
4282,Singaperumalkoil,M.Cl.,27,Maharashtra,20,Nashik
4283,Singapur,M.Cl.,27,Maharashtra,31,Satara
4284,Singarayakonda,T.P.,33,Tamil Nadu,28,Toothukudi
4285,Singarva,C.T.,33,Tamil Nadu,6,Tiruvanamalai
4286,Singnapur,T.P,33,Tamil Nadu,4,Vellore
4287,Singoli,C.T.,29,Karnataka,23,Hassan
4288,Singrauli,M,33,Tamil Nadu,10,Erode
4289,Singtam,C.T.,19,West Bengal,10,Nadia 
4290,Singur,M.Corp.,23,Madhya Pradesh,13,Satna
4291,Sinhasa,N.P.,9,Uttar Pradesh,46,Barabanki
4292,Sini,M,28,Andhra Pradesh,17,Guntur
4293,Sinnar,M,33,Tamil Nadu,26,Virudhunagar
4294,Siolim,N.P.,23,Madhya Pradesh,23,Dewas
4295,Sira,C.T.,20,Jharkhand,4,Hazaribag
4296,Siralkoppa,T.M.C,29,Karnataka,1,Belgaum
4297,Siras Pur,N.P.,9,Uttar Pradesh,14,Mathura
4298,Sirathu,N.P.,9,Uttar Pradesh,30,Kannauj
4299,Sirauli,N.P.,23,Madhya Pradesh,43,Chhindwara
4300,Sirgiti,T.M.C,29,Karnataka,11,Haveri
4301,Sirgora,M,24,Gujarat,13,Amreli
4302,Sirhind -Fategarh,M.Cl.,27,Maharashtra,3,Jalgaon
4303,Sirka,M.Cl.,27,Maharashtra,9,Nagpur
4304,Sirkali,M,8,Rajasthan,10,Sawai Madhopur
4305,Sirmaur,M.Cl.,27,Maharashtra,33,Sindhudurg
4306,Sirohi,C.T.,27,Maharashtra,10,Bhandara
4307,Sironj,N.P.,23,Madhya Pradesh,26,Indore
4308,Sirsa,T.P.,33,Tamil Nadu,27,Ramanathapuram
4309,Sirsaganj,C.T.,24,Gujarat,22,Surat
4310,Sirsha,T.P.,33,Tamil Nadu,28,Toothukudi
4311,Sirsi,C.B.,28,Andhra Pradesh,5,Hyderabad
4312,Sirsilla,T.M.C,29,Karnataka,4,Gulbarga
4313,Sirugamani,T.P.,33,Tamil Nadu,9,Namakkal
4314,Siruguppa,C.T.,33,Tamil Nadu,4,Vellore
4315,Sirumugai,M,23,Madhya Pradesh,33,Sehore
4316,Sisauli,T.P.,33,Tamil Nadu,26,Virudhunagar
4317,Siswa Bazar,N.P.,14,Manipur,6,Imphal West
4318,Sitamarhi,N.P.,23,Madhya Pradesh,14,Rewa
4319,Sitamau,T.P.,33,Tamil Nadu,3,Kancheepuram
4320,Sitapur,C.T.,33,Tamil Nadu,12,Coimbatore
4321,Sitarganj,C.T.,18,Assam,17,Jorhat
4322,Sithayankottai,M,23,Madhya Pradesh,28,Barwani
4323,Sithurajapuram,T.P.,33,Tamil Nadu,9,Namakkal
4324,Siuliban,T.P.,33,Tamil Nadu,8,Salem
